"%s","%s"
"%s already exist.","%s již existuje."
"%s already exists.","%s již existuje."
"-- Please Select --","– Vyberte –"
"Enabled for Frontend","Povoleno na frontendu"
"Environment Update Time","Environment Update Time"
"Error in file: ""%s"" - %s","Chyba v souboru: ""%s"" - %s"
"European Union Countries","Země Evropské unie"
"Exceptions Log File Name","Název souboru protokolu výjimek"
"Favicon Icon","Favicon ikona"
"File %s does not exist","Soubor %s neexistuje"
"File %s is not readable","Soubor %s není čitelný"
"File not found","Soubor nebyl nalezen"
"File system","Souborový systém"
"File with an extension ""%value%"" is protected and cannot be uploaded","Soubor s příponou ""%value%"" je chráněný a nelze jej nahrát na server"
"First Day of Week","První den týdne"
"Flush Cache Storage","Vyprázdnění mezipaměť"
"Flush Magento Cache","Vyprázdnit Magento cache"
"Footer","Zápatí"
"Forgot Password Email Sender","Forgot Password Email Sender"
"Forgot Password Email Template","Forgot Password Email Template"
"General","Obecné"
"General Contact","Hlavní kontakt"
"General Contact Email","Obecný kontaktní e-mail"
"General Contact Name","Obecný kontakt - jméno"
"General Settings","Obecné nastavení"
"Get info about current Magento installation","Informace o současné instalaci Magento"
"Global","Globální"
"HTML Head","HTML Head"
"HTML tags are not allowed","HTML tagy nejsou dovoleny"
"Header","Záhlaví"
"Host","Host"
"How many links to display at once.","Kolik odkazů zobrazit najednou."
"ID Path for Specified Store","ID Path for Specified Store"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Nesprávné datum expirace platební karty."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Invalid URL '%value%'.","Neplatná adresa URL ""%value%""."
"Invalid base url type","Invalid base url type"
"Invalid block type: %s","Neplatný typ bloku: %s"
"Invalid block: %s","Neplatný blok: %s"
"Invalid connection","Neplatné připojení"
"Invalid date","Neplatné datum"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid query","Neplatný dotaz"
"Invalid transactional email code: %s","Invalid transactional email code: %s"
"Invalid website\'s configuration path: %s","Invalid website\'s configuration path: %s"
"JavaScript Settings","Nastavení JavaScriptu"
"Layout","Rozložení"
"Leave empty for access from any location.","Leave empty for access from any location."
"List of stores","Seznam obchodů"
"Locale","Národní prostředí"
"Locale Options","Národní volby"
"Log Settings","Nastavení logu"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","Login is Case Sensitive"
"Logo Image","Obrázek loga"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento info","Informace o systému Magento"
"Magento info API","Magento info API"
"Mail Sending Settings","Mail Sending Settings"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Manage Stores","Správa obchodů"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Media Storage","Úložiště médií"
"Merge CSS Files","Sloučit soubory CSS"
"Merge JavaScript Files","Sloučit soubory JavaScript"
"Message recipients data must be set.","Příjemce zprávy musí být nastaven."
"Miscellaneous HTML","Různé HTML"
"Miscellaneous Scripts","Různé skripty"
"Model collection resource name is not defined.","Model collection resource name is not defined."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" cannot depend on ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" requires module ""%2$s""."
"Name","Název"
"New Design Change","Nová změna designu"
"New Store","Nový obchod"
"New Store View","Nový pohled obchodu"
"New Website","Nový web"
"No","Ne"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Package","Balíček"
"Pagination","Stránkování"
"Pagination Frame","Pagination Frame"
"Pagination Frame Skip","Pagination Frame Skip"
"Parent directory does not exist: %s","Parent directory does not exist: %s"
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Please enter 7 or more characters. Password should contain both numeric and alphabetic characters."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a number lower than 100.","Zadejte číslo nižší než 100."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Please enter a valid URL. Protocol is required (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Please enter a valid XML-identifier. For example something_1, block5, id-4."
"Please enter a valid credit card number.","Zadejte platné číslo platební karty."
"Please enter a valid credit card verification number.","Zadejte prosím číslo ověření platné kreditní karty."
"Please enter a valid date between %s and %s","Prosím zadejte platné datum mezi %s a %s"
"Please enter a valid date equal to or greater than %s","Prosím zadejte platné datum stejné nebo novější než %s"
"Please enter a valid date less than or equal to %s","Prosím zadejte platné datum stejné nebo starší datum než %s"
"Please enter a valid date.","Zadejte platné datum."
"Please enter a valid day (1-%d).","Zadejte platný den (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Zadejte platnou e-mailovou adresu. Například johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Zadejte platné faxové číslo."
"Please enter a valid full date","Zadejte platné úplné datum"
"Please enter a valid month (1-12).","Zadejte platný měsíc (1-12)."
"Please enter a valid number in this field.","Zadejte platné číslo do tohoto pole."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadejte platné telefonní číslo."
"Please enter a valid social security number. For example 123-45-6789.","Zadejte platné číslo sociálního pojištění. Například 123-45-6789."
"Please enter a valid year (1900-%d).","Zadejte platný rok (1900-%d)."
"Please enter a valid zip code.","Prosím zadejte platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadejte platné PSČ. Například 11150."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select State/Province.","Vyberte stát / provincii."
"Please select a file","Vyberte soubor"
"Please select an option.","Please select an option."
"Please select one of the above options.","Zvolte jednu z výše uvedených možností."
"Please select one of the options.","Zvolte prosím jednu z možností."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","V tomto poli použijte pouze písmena (a-z nebo A-Z) nebo číslice (0-9). Mezery nebo jiné znaky nejsou povoleny."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only visible characters and spaces.","Please use only visible characters and spaces."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Počkejte, prosím, nahrávám..."
"Polls","Ankety"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Request Path for Specified Store","Request Path for Specified Store"
"Request path length exceeds allowed %s symbols.","Request path length exceeds allowed %s symbols."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set.","Resource is not set."
"Retrieve info about current Magento installation","Retrieve info about current Magento installation"
"Retrieve store data","Retrieve store data"
"Retrieve store list","Retrieve store list"
"Return-Path Email","Return-Path Email"
"Root Category","Root Category"
"Sales Representative","Obchodní kontakt"
"Sales Representative Contact Email","E-mail obchodního kontaktu"
"Sales Representative Contact Name","Jméno obchodního kontaktu"
"Save","Uložit"
"Save Store","Uložit obchod"
"Save Store View","Uložit pohled obchodu"
"Save Website","Uložit web"
"Search Engines Optimization","Optimalizace pro vyhledávače (SEO)"
"Secure","Secure"
"Security","Zabezpečení"
"Select Date","Select Date"
"Select Media Database","Select Media Database"
"Sender Email","E-mail odesílatele"
"Sender Name","Jméno odesílatele"
"Services","Služby"
"Session Cookie Management","Session Cookie Management"
"Session Lifetime (seconds)","Session Lifetime (seconds)"
"Session Validation Settings","Session Validation Settings"
"Set Return-Path","Set Return-Path"
"Set as Default","Nastavit jako výchozí"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Small Logo Image Src","Small Logo Image Src"
"Sort Order","Řadit podle"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Start date cannot be greater than end date.","Start date cannot be greater than end date."
"Startup Page","Startup Page"
"Status","Stav"
"Storage Configuration for Media","Storage Configuration for Media"
"Store","Store"
"Store API","Store API"
"Store Contact Address","Kontaktní adresa obchodu"
"Store Contact Information","Store Contact Information"
"Store Contact Telephone","Kontaktní telefon obchodu"
"Store Email Addresses","E-mailové adresy obchodu"
"Store Hours of Operation","Provozní doba obchodu"
"Store Information","Store Information"
"Store Name","Název obchodu"
"Store View","Store View"
"Store View Information","Store View Information"
"Store View Name","Store View Name"
"Store view doesn't exist","Store view doesn't exist"
"Store with the same code","Store with the same code"
"System","Systém"
"System Log File Name","System Log File Name"
"Template Path Hints","Template Path Hints"
"Template Settings","Nastavení šablony"
"Template Variables","Template Variables"
"Templates","Šablony"
"Text length does not satisfy specified text range.","Text length does not satisfy specified text range."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"The store does not exist","The store does not exist"
"The store has been deleted.","The store has been deleted."
"The store has been saved.","The store has been saved."
"The store view has been deleted.","The store view has been deleted."
"The store view has been saved","The store view has been saved"
"The template Name must not be empty.","Název šablony nesmí být prázdný."
"The value is not within the specified range.","The value is not within the specified range."
"The website does not exist.","The website does not exist."
"The website has been deleted.","The website has been deleted."
"The website has been saved.","The website has been saved."
"Themes","Themes"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","This category only"
"This date is a required value.","This date is a required value."
"This is a required field.","Toto pole je povinné."
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Timezone","Časové pásmo"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Transactional Emails","Transactional Emails"
"Translate Inline","Inline překlad"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Translate, blocks and other output caches should be disabled for both frontend and admin inline translations."
"Translations","Překlady"
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Two and more slashes together are not permitted in url rewrite suffix","Two and more slashes together are not permitted in url rewrite suffix"
"Unable to create directory: %s","Unable to create directory: %s"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Unable to save file ""%s"" at ""%s""","Unable to save file ""%s"" at ""%s"""
"Unable to save file: %s","Unable to save file: %s"
"Unknown old style column type definition: {$definition}.","Unknown old style column type definition: {$definition}."
"Unknown scope ""%s"".","Unknown scope ""%s""."
"Unsecure","Nezabezpečená verze"
"Url Options","Url Options"
"Use Custom Admin Path","Use Custom Admin Path"
"Use Custom Admin URL","Use Custom Admin URL"
"Use HTTP Only","Používat pouze HTTP"
"Use SID on Frontend","Use SID on Frontend"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"VAT Number","DIČ"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Validation has failed."
"Values less than 60 are ignored. Note that changes will apply after logout.","Values less than 60 are ignored. Note that changes will apply after logout."
"Variable Code must be unique.","Variable Code must be unique."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Web","Web"
"Website","Website"
"Website Information","Website Information"
"Website Name","Website Name"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"Website with the same code","Website with the same code"
"Weekend Days","Dny volna"
"Welcome Text","Welcome Text"
"Wrong file info format","Wrong file info format"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
"Wrong old style column type definition: {$definition}.","Wrong old style column type definition: {$definition}."
"Yes","Yes"
"You will have to log in after you save your custom admin path.","You will have to log in after you save your custom admin path."
"Your design change for the specified store intersects with another one, please specify another date range.","Your design change for the specified store intersects with another one, please specify another date range."
"database ""%s""","database ""%s"""
